WKT,name,description,id,province_id,alt_name,latitude,longitude
"POINT (106.55271 -5.5985 0.0)",KABUPATEN KEPULAUAN SERIBU,id: 3101
province_id: 31
alt_name: KABUPATEN KEPULAUAN SERIBU
latitude: -5.5985
longitude: 106.55271,3101.0,31.0,KABUPATEN KEPULAUAN SERIBU,-5.5985,106.55271
"POINT (106.8135 -6.266 0.0)",KOTA JAKARTA SELATAN,id: 3171
province_id: 31
alt_name: KOTA JAKARTA SELATAN
latitude: -6.266
longitude: 106.8135,3171.0,31.0,KOTA JAKARTA SELATAN,-6.266,106.8135
"POINT (106.884 -6.2521 0.0)",KOTA JAKARTA TIMUR,id: 3172
province_id: 31
alt_name: KOTA JAKARTA TIMUR
latitude: -6.2521
longitude: 106.884,3172.0,31.0,KOTA JAKARTA TIMUR,-6.2521,106.884
"POINT (106.8403 -6.1777 0.0)",KOTA JAKARTA PUSAT,id: 3173
province_id: 31
alt_name: KOTA JAKARTA PUSAT
latitude: -6.1777
longitude: 106.8403,3173.0,31.0,KOTA JAKARTA PUSAT,-6.1777,106.8403
"POINT (106.7673 -6.1676 0.0)",KOTA JAKARTA BARAT,id: 3174
province_id: 31
alt_name: KOTA JAKARTA BARAT
latitude: -6.1676
longitude: 106.7673,3174.0,31.0,KOTA JAKARTA BARAT,-6.1676,106.7673
"POINT (106.8823 -6.1339 0.0)",KOTA JAKARTA UTARA,id: 3175
province_id: 31
alt_name: KOTA JAKARTA UTARA
latitude: -6.1339
longitude: 106.8823,3175.0,31.0,KOTA JAKARTA UTARA,-6.1339,106.8823
