WKT,name,description,id,province_id,alt_name,latitude,longitude
"POINT (108.98861 -7.57417 0.0)",KABUPATEN CILACAP,id: 3301
province_id: 33
alt_name: KABUPATEN CILACAP
latitude: -7.57417
longitude: 108.98861,3301.0,33.0,KABUPATEN CILACAP,-7.57417,108.98861
"POINT (109.16667 -7.45 0.0)",KABUPATEN BANYUMAS,id: 3302
province_id: 33
alt_name: KABUPATEN BANYUMAS
latitude: -7.45
longitude: 109.16667,3302.0,33.0,KABUPATEN BANYUMAS,-7.45,109.16667
"POINT (109.35028 -7.28417 0.0)",KABUPATEN PURBALINGGA,id: 3303
province_id: 33
alt_name: KABUPATEN PURBALINGGA
latitude: -7.28417
longitude: 109.35028,3303.0,33.0,KABUPATEN PURBALINGGA,-7.28417,109.35028
"POINT (109.5875 -7.35111 0.0)",KABUPATEN BANJARNEGARA,id: 3304
province_id: 33
alt_name: KABUPATEN BANJARNEGARA
latitude: -7.35111
longitude: 109.5875,3304.0,33.0,KABUPATEN BANJARNEGARA,-7.35111,109.5875
"POINT (109.66056 -7.63917 0.0)",KABUPATEN KEBUMEN,id: 3305
province_id: 33
alt_name: KABUPATEN KEBUMEN
latitude: -7.63917
longitude: 109.66056,3305.0,33.0,KABUPATEN KEBUMEN,-7.63917,109.66056
"POINT (109.96667 -7.7 0.0)",KABUPATEN PURWOREJO,id: 3306
province_id: 33
alt_name: KABUPATEN PURWOREJO
latitude: -7.7
longitude: 109.96667,3306.0,33.0,KABUPATEN PURWOREJO,-7.7,109.96667
"POINT (109.92667 -7.36139 0.0)",KABUPATEN WONOSOBO,id: 3307
province_id: 33
alt_name: KABUPATEN WONOSOBO
latitude: -7.36139
longitude: 109.92667,3307.0,33.0,KABUPATEN WONOSOBO,-7.36139,109.92667
"POINT (110.16194 -7.4275 0.0)",KABUPATEN MAGELANG,id: 3308
province_id: 33
alt_name: KABUPATEN MAGELANG
latitude: -7.4275
longitude: 110.16194,3308.0,33.0,KABUPATEN MAGELANG,-7.4275,110.16194
"POINT (110.7 -7.5 0.0)",KABUPATEN BOYOLALI,id: 3309
province_id: 33
alt_name: KABUPATEN BOYOLALI
latitude: -7.5
longitude: 110.7,3309.0,33.0,KABUPATEN BOYOLALI,-7.5,110.7
"POINT (110.61667 -7.68333 0.0)",KABUPATEN KLATEN,id: 3310
province_id: 33
alt_name: KABUPATEN KLATEN
latitude: -7.68333
longitude: 110.61667,3310.0,33.0,KABUPATEN KLATEN,-7.68333,110.61667
"POINT (110.83333 -7.68333 0.0)",KABUPATEN SUKOHARJO,id: 3311
